no,text
13,default exception strategy is not being called . i have the following flow : { code : xml } < flow name= '' storeuser '' doc : name= '' storeuser '' > < http : inbound-endpoint exchange-pattern= '' request-response '' host= '' localhost '' port= '' 8081 '' path= '' save '' doc : name= '' http '' / > < objectstore : store config-ref= '' objectstore '' key= '' # [ json : user ] '' value-ref= '' # [ payload ] '' doc : name= '' storing the user '' / > < async doc : name= '' async '' > < scripting : component doc : name= '' groovy '' > < scripting : script engine= '' groovy '' > < scripting : text > < ! [ cdata [ thread.sleep ( 10000 ) ] ] > < /scripting : text > < /scripting : script > < /scripting : component > < vm : outbound-endpoint exchange-pattern= '' one-way '' address= '' vm : //sendmail '' doc : name= '' vm '' / > < /async > < tracking : custom-event event-name= '' stored user '' doc : name= '' stored user info '' > < tracking : meta-data key= '' user '' value= '' # [ json : user ] '' / > < /tracking : custom-event > < catch-exception-strategy > < set-payload value= '' # [ string : could not store the user ] '' doc : name= '' an exception ocurred .... '' / > < /catch-exception-strategy > < /flow > { code } when i post with an invalid json   the return is `` could not store the user '' however when i do : { code : xml } < flow name= '' storeuser '' doc : name= '' storeuser '' > < http : inbound-endpoint exchange-pattern= '' request-response '' host= '' localhost '' port= '' 8081 '' path= '' save '' doc : name= '' http '' / > < objectstore : store config-ref= '' objectstore '' key= '' # [ json : user ] '' value-ref= '' # [ payload ] '' doc : name= '' storing the user '' / > < async doc : name= '' async '' > < scripting : component doc : name= '' groovy '' > < scripting : script engine= '' groovy '' > < scripting : text > < ! [ cdata [ thread.sleep ( 10000 ) ] ] > < /scripting : text > < /scripting : script > < /scripting : component > < vm : outbound-endpoint exchange-pattern= '' one-way '' address= '' vm : //sendmail '' doc : name= '' vm '' / > < /async > < tracking : custom-event event-name= '' stored user '' doc : name= '' stored user info '' > < tracking : meta-data key= '' user '' value= '' # [ json : user ] '' / > < /tracking : custom-event > < default-exception-strategy > < set-payload value= '' # [ string : could not store the user ] '' doc : name= '' an exception ocurred .... '' / > < /default-exception-strategy > < /flow > { code } the exception is not handled
14,xslttransformer forcefully evaluate expressions in context-property into strings . this arbitrary limitation prevents passing dom nodes as xsl parameters : ( it comes from the fact the xsl transformer uses the deprecated { { parse } } method in : { code : java } protected object evaluatetransformparameter ( string key   object value   mulemessage message ) throws transformerexception { if ( value instanceof string ) { return mulecontext.getexpressionmanager ( ) .parse ( value.tostring ( )   message ) ; } return value ; } { code }
15,mulemessagetohttpresponse.createresponse should n't use simpledateformat . we should use jodatime 's datetimeformatter since it is thread-safe ( we can use one static instance ) and faster than creating a new one each time .
16,per app classloader should clean all native libraries from the classloader on redeploy . case example : sap application in mule with all libraries ( jco + jco native lib + sap transport lib ) in the application 's lib directory on redeploy the jvm aborts with error : invalid memory access of location 0x1f3c7d10 eip=0x1f3c7d10 the problem seems to be that the native library was n't properly unloaded and when the jco jar tries to load it again the jvm aborts execution .
17,upgrade jackson to 1.9.11 . this version works with 1.8.0 and there are some deprecated methods in 1.9.11   so there is a need for an upgrade .
18,should be able to replace log4j for another logging implementation . http : //www.mulesoft.org/documentation/display/mule3user/configuring+logging says in the section titled `` i do n't want to use log4j '' that the log4j jar can be removed so long as slf4j is wired to another logging implementation . removing the log4j jar results in wrappermanager error : error in wrapperlistener.start callback . java.lang.noclassdeffounderror : org/apache/log4j/spi/repositoryselector wrappermanager error : java.lang.noclassdeffounderror : org/apache/log4j/spi/repositoryselector wrappermanager error : at java.lang.class.getdeclaredconstructors0 ( native method ) wrappermanager error : at java.lang.class.privategetdeclaredconstructors ( class.java:2389 ) wrappermanager error : at java.lang.class.getconstructor0 ( class.java:2699 ) wrappermanager error : at java.lang.class.getconstructor ( class.java:1657 ) wrappermanager error : at org.mule.module.reboot.mulecontainerwrapper.start ( mulecontainerwrapper.java:53 ) wrappermanager error : at org.tanukisoftware.wrapper.wrappermanager $ 12.run ( wrappermanager.java:3925 ) wrappermanager error : caused by : java.lang.classnotfoundexception : org.apache.log4j.spi.repositoryselector wrappermanager error : at java.net.urlclassloader $ 1.run ( urlclassloader.java:202 ) wrappermanager error : at java.security.accesscontroller.doprivileged ( native method ) wrappermanager error : at java.net.urlclassloader.findclass ( urlclassloader.java:190 ) wrappermanager error : at java.lang.classloader.loadclass ( classloader.java:306 ) wrappermanager error : at java.lang.classloader.loadclass ( classloader.java:247 ) wrappermanager error : ... 6 more this is due to the patch done to fix mule-5264 which causes mulecontainer to have a direct reference to log4j 's repositoryselector . simply moving the reference and the call to setrepositoryselector to some other class which is not accessed via a static reference should solve the problem .
19,rest document resource definition . http : //corp.wiki.mulesource.com/display/wp/simplified+rest+service+creation
20,rest swagger definition generation . http : //corp.wiki.mulesource.com/display/wp/simplified+rest+service+creation
21,rest browsable web ui generation . http : //corp.wiki.mulesource.com/display/wp/simplified+rest+service+creation
22,remove all examples   except the new hello world and existing loan broker   from esb stand-alone distribution . * packaged examples should be modified as per the following plan : https : //docs.google.com/a/mulesoft.com/spreadsheet/ccc ? key=0arwrjmcfhowwddncdnjyeldhcdi5m0dyatrswuwxd2c # gid=2 * this requires the following additional work : - creation of the two new identified examples . - modification of target examples to use latest 3.4 features . beyond specifics identified on spreadsheet this includes adding in-studio documentation for all examples . - modification of documentation for target examples . - removal of examples tagged as archive from studio . - modification of docs to reflect an archived examples section . - placement of all examples in git and tagging as active versus archived . - from the esb stand-alone distribution point of view : remove all examples except the new hello world and existing loan broker .
23,addition of db2 and ms sql server to the list of databases on studio jdbc connector configuration window - esb work . today we show mysql   derby   and oracle . however   ms sql and db2 are rdbms 's with very large footprints . as such   we should add these two databases to the set that shows up on the jdbc connector 's configuration screen .
24,nio and websocket completion . as a mule esb user   i would like to be able to turn on the use of the nio stack through a deploy.properties toggle . as a mule esb user   i would like to be able to use the new websocket components within my flows .
25,testing mule 3.4 pairing with ga registry . as a mule user   i would like to configure my mule instance to be paired with my registry account through my registry key so that i may be able to manage my esb instance 's endpoints with the registry . user should be configure the registry key for their registry account for an esb instance . from there on : the http endpoints of all apps deployed to the esb instance should be manageable with the paired registry instance . detailed specs described here : http : //corp.wiki.mulesource.com/display/prodmgmt/registry+interaction+and+license+management+support
26,testing - mule 3.4 dynamic lookup with ga registry . as a mule user   i would like to use the dynamic lookup component within my flows . detailed specs defined here : http : //corp.wiki.mulesource.com/display/wp/dynamic+router+ % 28supports+registry+dynamic+endpoint+resolution % 29
27,update spring version used in mule to 3.2 . update the version of spring we are using to 3.2
28,intercepting are not generating message processor path . this is currently breaking debugger   since all mp that executes after an intercepting mp are not being executed .
29,mule-common dependency should be on a fixed version . we should be on a fixed version rather than a snapshot . mule-common is at 0.11.0-snapshot so we 'll go with 0.11.0 .
30,rest representations definition . multiple representation support for apikit
31,apikit example application . create an example application to showcase apikit functionality
32,github migration . - svn repo migration to github - bamboo plans update
33,apikit rest controller resource . rest controller resource
34,apikit tech debt . apikit tech debt
35,deprecate services ( and anything else we can ) . deprecate services ( and anything else we can )
36,when setting a basic authorization filter if no authorizations headers are set in the request   an exception is thrown and there is no request from the browser to add the keys . . when setting a basic authorization filter if no authorizations headers are set in the request   an exception is thrown and there is no request from the browser to add the keys . steps to reproduce : deploy app in a 3.4.0-rc2 mule instance . in a browser go to http : //localhost:4567/authenticate expected : a pop-up requesting for authentication should appear . actual : the response is `` registered authentication is set to org.mule.transport.http.filters.httpbasicauthenticationfilter but there was no security context on the session . authentication denied on endpoint http : //localhost:4567/authenticate . message payload is of type : string ''
37,restarting a mule app cause loss of jms messages even when using transactions . # start a local activemq instance listening on port 61616 with in and out queues # deploy transactional-jms.zip # ab -n 1000 -c 10 http : //localhost:8080/help # wait for messages to be put to in queue # restart mule app expected : all messages are copied from in queue to out queue actual : about 100 messages are lost
38,http ( s ) transport generates everlasting temporary files . when doing a multipart upload it may create a temporary file . it will remain on the disk drive because the file is not being deleted once the outputstream is closed . a deleteonexit flag would not be effective for never-closing applications . this eventually leads to `` java.io.ioexception : no space left on device '' . the location where this file is being created may be seen at https : //github.com/mulesoft/mule/blob/mule-3.x/transports/http/src/main/java/org/mule/transport/http/multipart/multipartinputstream.java # l135
39,update license.txt     and 3rd party list . * as a developer i want to be able to read accurate content of the license.txt file bundled with mule esb standalone .
40,fix the 3.x site build . javadoc generation is failing . check log here : http : //bamboo.mulesoft.org/browse/mule3x-mule3xsite-site
41,replytohandlers do not work with dynamic outbound endpoints . replytohandler in the case of ajax ( ajaxreplytohandler ) depends on the messagesourceuri to actually send the message back to the caller . if a dynamic outbound endpoint is introduced in the middle which replaces the event 's messagesourceuri it breaks the replyto . see the following flow ( modified version of the order processing example shipped with studio ) : { code } < flow name= '' orderproxy '' doc : name= '' orderproxy '' > < ajax : inbound-endpoint channel= '' /orders/soap '' responsetimeout= '' 10000 '' connector-ref= '' ajaxserver '' doc : name= '' /orders/soap '' / > < outbound-endpoint exchange-pattern= '' request-response '' address= '' http : // # [ string:0.0.0.0:1080/orders ] '' connector-ref= '' httpconnector '' doc : name= '' generic '' / > < object-to-string-transformer doc : name= '' object to string '' / > < /flow > { code } produces the following error : { code } { `` timestamp '' : '' wed   20 mar 2013 00:03:58 gmt ''   '' id '' : '' 370 ''   '' data '' : { }   '' channel '' : '' /orders/soap ''   '' clientid '' : '' k9lc8wpz6dr1fsvppi '' } java.lang.reflect.invocationtargetexception sun.reflect.nativemethodaccessorimpl.invoke0 ( native method ) sun.reflect.nativemethodaccessorimpl.invoke ( nativemethodaccessorimpl.java:39 ) sun.reflect.delegatingmethodaccessorimpl.invoke ( delegatingmethodaccessorimpl.java:25 ) java.lang.reflect.method.invoke ( method.java:597 ) org.mortbay.cometd.bayeuxservice.doinvoke ( bayeuxservice.java:357 ) org.mortbay.cometd.bayeuxservice.invoke ( bayeuxservice.java:309 ) org.mortbay.cometd.bayeuxservice.access $ 400 ( bayeuxservice.java:59 ) org.mortbay.cometd.bayeuxservice $ asynclisten.deliver ( bayeuxservice.java:393 ) org.mortbay.cometd.clientimpl.notifymessagelistener ( clientimpl.java:214 ) org.mortbay.cometd.clientimpl.dodelivery ( clientimpl.java:194 ) org.mortbay.cometd.channelimpl.delivertosubscriber ( channelimpl.java:502 ) org.mortbay.cometd.channelimpl.dodelivery ( channelimpl.java:464 ) org.mortbay.cometd.channelimpl.dodelivery ( channelimpl.java:494 ) org.mortbay.cometd.channelimpl.dodelivery ( channelimpl.java:494 ) org.mortbay.cometd.abstractbayeux $ publishhandler.handle ( abstractbayeux.java:1293 ) org.mortbay.cometd.abstractbayeux.handle ( abstractbayeux.java:287 ) org.mortbay.cometd.continuation.continuationcometdservlet.service ( continuationcometdservlet.java:171 ) org.mule.transport.ajax.container.muleajaxservlet.service ( muleajaxservlet.java:107 ) org.mortbay.cometd.abstractcometdservlet.service ( abstractcometdservlet.java:265 ) org.mortbay.jetty.servlet.servletholder.handle ( servletholder.java:511 ) org.mortbay.jetty.servlet.servlethandler.handle ( servlethandler.java:401 ) org.mortbay.jetty.handler.contexthandler.handle ( contexthandler.java:766 ) org.mortbay.jetty.handler.contexthandlercollection.handle ( contexthandlercollection.java:230 ) org.mortbay.jetty.handler.handlerwrapper.handle ( handlerwrapper.java:152 ) org.mortbay.jetty.server.handle ( server.java:326 ) org.mortbay.jetty.httpconnection.handlerequest ( httpconnection.java:542 ) org.mortbay.jetty.httpconnection $ requesthandler.content ( httpconnection.java:945 ) org.mortbay.jetty.httpparser.parsenext ( httpparser.java:756 ) org.mortbay.jetty.httpparser.parseavailable ( httpparser.java:218 ) org.mortbay.jetty.httpconnection.handle ( httpconnection.java:404 ) org.mortbay.io.nio.selectchannelendpoint.run ( selectchannelendpoint.java:410 ) org.mortbay.thread.queuedthreadpool $ poolthread.run ( queuedthreadpool.java:582 ) caused by : org.mule.api.messagingexception : endpoint scheme must be compatible with the connector scheme . connector is : `` ajax ''   endpoint is `` http : //0.0.0.0:1080/orders '' ( java.lang.illegalargumentexception ) . message payload is of type : string org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:35 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.defaultmessageprocessorchain.doprocess ( defaultmessageprocessorchain.java:93 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.abstractinterceptingmessageprocessorbase.processnext ( abstractinterceptingmessageprocessorbase.java:105 ) org.mule.processor.asyncinterceptingmessageprocessor.process ( asyncinterceptingmessageprocessor.java:98 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.defaultmessageprocessorchain.doprocess ( defaultmessageprocessorchain.java:93 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.abstractinterceptingmessageprocessorbase.processnext ( abstractinterceptingmessageprocessorbase.java:105 ) org.mule.interceptor.abstractenvelopeinterceptor.process ( abstractenvelopeinterceptor.java:55 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.abstractinterceptingmessageprocessorbase.processnext ( abstractinterceptingmessageprocessorbase.java:105 ) org.mule.processor.abstractfilteringmessageprocessor.process ( abstractfilteringmessageprocessor.java:44 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.abstractinterceptingmessageprocessorbase.processnext ( abstractinterceptingmessageprocessorbase.java:105 ) org.mule.construct.abstractpipeline $ 1.process ( abstractpipeline.java:102 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.defaultmessageprocessorchain.doprocess ( defaultmessageprocessorchain.java:93 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.doprocess ( interceptingchainlifecyclewrapper.java:57 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.access $ 001 ( interceptingchainlifecyclewrapper.java:29 ) org.mule.processor.chain.interceptingchainlifecyclewrapper $ 1.process ( interceptingchainlifecyclewrapper.java:90 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.process ( interceptingchainlifecyclewrapper.java:85 ) org.mule.construct.abstractpipeline $ 3.process ( abstractpipeline.java:194 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.defaultmessageprocessorchain.doprocess ( defaultmessageprocessorchain.java:93 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.doprocess ( interceptingchainlifecyclewrapper.java:57 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.access $ 001 ( interceptingchainlifecyclewrapper.java:29 ) org.mule.processor.chain.interceptingchainlifecyclewrapper $ 1.process ( interceptingchainlifecyclewrapper.java:90 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.process ( interceptingchainlifecyclewrapper.java:85 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.simplemessageprocessorchain.doprocess ( simplemessageprocessorchain.java:47 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.doprocess ( interceptingchainlifecyclewrapper.java:57 ) org.mule.processor.chain.abstractmessageprocessorchain.process ( abstractmessageprocessorchain.java:66 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.access $ 001 ( interceptingchainlifecyclewrapper.java:29 ) org.mule.processor.chain.interceptingchainlifecyclewrapper $ 1.process ( interceptingchainlifecyclewrapper.java:90 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) org.mule.execution.messageprocessornotificationexecutioninterceptor.execute ( messageprocessornotificationexecutioninterceptor.java:46 ) org.mule.execution.messageprocessorexecutiontemplate.execute ( messageprocessorexecutiontemplate.java:43 ) org.mule.processor.chain.interceptingchainlifecyclewrapper.process ( interceptingchainlifecyclewrapper.java:85 ) org.mule.transport.abstractmessagereceiver.routemessage ( abstractmessagereceiver.java:220 ) org.mule.transport.abstractmessagereceiver.routemessage ( abstractmessagereceiver.java:202 ) org.mule.transport.abstractmessagereceiver.routemessage ( abstractmessagereceiver.java:194 ) org.mule.transport.abstractmessagereceiver.routemessage ( abstractmessagereceiver.java:181 ) org.mule.transport.ajax.ajaxmessagereceiver $ receiverservice.route ( ajaxmessagereceiver.java:76 ) ... 32 more caused by : java.lang.illegalargumentexception : endpoint scheme must be compatible with the connector scheme . connector is : `` ajax ''   endpoint is `` http : //0.0.0.0:1080/orders '' org.mule.endpoint.abstractendpointbuilder.dobuildoutboundendpoint ( abstractendpointbuilder.java:254 ) org.mule.endpoint.abstractendpointbuilder.buildoutboundendpoint ( abstractendpointbuilder.java:122 ) com.mulesoft.habitat.agent.endpoint.anypointenabledendpointfactory.getoutboundendpoint ( anypointenabledendpointfactory.java:44 ) org.mule.transport.ajax.ajaxreplytohandler.processreplyto ( ajaxreplytohandler.java:66 ) org.mule.routing.requestreply.abstractreplytopropertyrequestreplyreplier.processreplyto ( abstractreplytopropertyrequestreplyreplier.java:69 ) org.mule.routing.requestreply.abstractreplytopropertyrequestreplyreplier.process ( abstractreplytopropertyrequestreplyreplier.java:45 ) org.mule.execution.exceptiontomessagingexceptionexecutioninterceptor.execute ( exceptiontomessagingexceptionexecutioninterceptor.java:27 ) ... 104 more { code }
